,GO term,COGs,GO term name,Number of COGs,IC,SuperCOGs,Number of SuperCOGs
0,GO:0042100,"{'D', 'W', 'T'}",B cell proliferation,3,10.095,{'supercog1'},1
1,GO:0046638,"{'D', 'W', 'T'}",positive regulation of alpha-beta T cell differentiation,3,11.5238,{'supercog1'},1
2,GO:0045649,"{'D', 'W', 'T'}",regulation of macrophage differentiation,3,13.0148,{'supercog1'},1
3,GO:0051310,"{'B', 'D', 'U'}",metaphase plate congression,3,10.5238,"{'supercog3', 'supercog1'}",2
4,GO:0007004,"{'B', 'L', 'O'}",telomere maintenance via telomerase,3,10.6851,"{'supercog3', 'supercog1'}",2
5,GO:0016505,"{'O', 'D', 'T'}",peptidase activator activity involved in apoptotic process,3,13.832,{'supercog1'},1
6,GO:1902105,"{'D', 'W', 'T'}",regulation of leukocyte differentiation,3,8.9023,{'supercog1'},1
7,GO:0097293,"{'C', 'F', 'H'}",XMP biosynthetic process,3,10.9482,{'supercog2'},1
8,GO:0006164,"{'C', 'F', 'H'}",purine nucleotide biosynthetic process,3,4.7987,{'supercog2'},1
9,GO:0008649,"{'A', 'J', 'H'}",rRNA methyltransferase activity,3,6.5858,"{'supercog3', 'supercog2'}",2
10,GO:0002719,"{'W', 'T', 'K'}",negative regulation of cytokine production involved in immune response,3,11.8667,"{'supercog3', 'supercog1'}",2
11,GO:0106050,"{'A', 'J', 'C'}",tRNA 2'-O-methyltransferase activity,3,13.9763,"{'supercog3', 'supercog2'}",2
12,GO:0002718,"{'W', 'T', 'K'}",regulation of cytokine production involved in immune response,3,10.0295,"{'supercog3', 'supercog1'}",2
13,GO:0050671,"{'D', 'W', 'T'}",positive regulation of lymphocyte proliferation,3,10.0543,{'supercog1'},1
14,GO:0006678,"{'G', 'C', 'I'}",glucosylceramide metabolic process,3,13.7007,{'supercog2'},1
15,GO:0008622,"{'B', 'O', 'Y'}",epsilon DNA polymerase complex,3,12.798,"{'supercog3', 'supercog1'}",2
16,GO:0032415,"{'P', 'T', 'U'}",regulation of sodium:proton antiporter activity,3,15.9023,"{'supercog2', 'supercog1'}",2
17,GO:0045579,"{'D', 'W', 'T'}",positive regulation of B cell differentiation,3,13.9763,{'supercog1'},1
18,GO:0140740,"{'O', 'P', 'T'}",ADP-riboxanase activity,3,,"{'supercog2', 'supercog1'}",2
19,GO:0052912,"{'A', 'J', 'H'}",23S rRNA (guanine(748)-N(1))-methyltransferase activity,3,18.2243,"{'supercog3', 'supercog2'}",2
20,GO:0006587,"{'C', 'E', 'H'}",serotonin biosynthetic process from tryptophan,3,15.2243,{'supercog2'},1
21,GO:0035437,"{'O', 'U', 'M'}",maintenance of protein localization in endoplasmic reticulum,3,13.2243,{'supercog1'},1
22,GO:0002228,"{'W', 'T', 'V'}",natural killer cell mediated immunity,3,11.5238,{'supercog1'},1
23,GO:0045620,"{'D', 'W', 'T'}",negative regulation of lymphocyte differentiation,3,11.4299,{'supercog1'},1
24,GO:0045621,"{'D', 'W', 'T'}",positive regulation of lymphocyte differentiation,3,10.662,{'supercog1'},1
25,GO:0010758,"{'T', 'W', 'N'}",regulation of macrophage chemotaxis,3,11.7165,{'supercog1'},1
26,GO:0070875,"{'G', 'C', 'H'}",positive regulation of glycogen metabolic process,3,13.3174,{'supercog2'},1
27,GO:0045652,"{'D', 'W', 'T'}",regulation of megakaryocyte differentiation,3,12.0148,{'supercog1'},1
28,GO:1902003,"{'O', 'E', 'Q'}",regulation of amyloid-beta formation,3,11.5378,"{'supercog2', 'supercog1'}",2
29,GO:0032825,"{'D', 'W', 'T'}",positive regulation of natural killer cell differentiation,3,15.0543,{'supercog1'},1
30,GO:0042104,"{'D', 'W', 'T'}",positive regulation of activated T cell proliferation,3,12.4694,{'supercog1'},1
31,GO:0019200,"{'G', 'P', 'T'}",carbohydrate kinase activity,3,8.4495,"{'supercog2', 'supercog1'}",2
32,GO:0045127,"{'G', 'P', 'T'}",N-acetylglucosamine kinase activity,3,13.3663,"{'supercog2', 'supercog1'}",2
33,GO:0008582,"{'D', 'W', 'T'}",regulation of synaptic assembly at neuromuscular junction,3,12.3663,{'supercog1'},1
34,GO:0006677,"{'G', 'C', 'I'}",glycosylceramide metabolic process,3,12.3416,{'supercog2'},1
35,GO:0042098,"{'D', 'W', 'T'}",T cell proliferation,3,9.3914,{'supercog1'},1
36,GO:0045725,"{'G', 'C', 'H'}",positive regulation of glycogen biosynthetic process,3,13.9023,{'supercog2'},1
37,GO:0042130,"{'D', 'W', 'T'}",negative regulation of T cell proliferation,3,10.7405,{'supercog1'},1
38,GO:0045581,"{'D', 'W', 'T'}",negative regulation of T cell differentiation,3,11.7813,{'supercog1'},1
39,GO:0030890,"{'D', 'W', 'T'}",positive regulation of B cell proliferation,3,11.4429,{'supercog1'},1
40,GO:1900151,"{'A', 'T', 'K'}","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",3,11.8149,"{'supercog3', 'supercog1'}",2
41,GO:0001867,"{'W', 'T', 'V'}","complement activation, lectin pathway",3,12.1158,{'supercog1'},1
42,GO:0046637,"{'D', 'W', 'T'}",regulation of alpha-beta T cell differentiation,3,11.0051,{'supercog1'},1
43,GO:1900371,"{'C', 'F', 'H'}",regulation of purine nucleotide biosynthetic process,3,11.3174,{'supercog2'},1
44,GO:1901016,"{'P', 'T', 'U'}",regulation of potassium ion transmembrane transporter activity,3,11.8492,"{'supercog2', 'supercog1'}",2
45,GO:0046651,"{'D', 'W', 'T'}",lymphocyte proliferation,3,8.8406,{'supercog1'},1
46,GO:0002036,"{'E', 'T', 'U'}",regulation of L-glutamate import across plasma membrane,3,16.2243,"{'supercog2', 'supercog1'}",2
47,GO:0045637,"{'D', 'W', 'T'}",regulation of myeloid cell differentiation,3,9.1528,{'supercog1'},1
48,GO:0033178,"{'O', 'C', 'M'}","proton-transporting two-sector ATPase complex, catalytic domain",3,7.016,"{'supercog2', 'supercog1'}",2
49,GO:0043371,"{'D', 'W', 'T'}","negative regulation of CD4-positive, alpha-beta T cell differentiation",3,12.5518,{'supercog1'},1
50,GO:0033180,"{'O', 'C', 'M'}","proton-transporting V-type ATPase, V1 domain",3,11.7648,"{'supercog2', 'supercog1'}",2
51,GO:0045087,"{'W', 'T', 'V'}",innate immune response,3,6.7917,{'supercog1'},1
52,GO:0016435,"{'A', 'J', 'H'}",rRNA (guanine) methyltransferase activity,3,8.5913,"{'supercog3', 'supercog2'}",2
53,GO:0050428,"{'C', 'F', 'H'}",3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,3,15.9023,{'supercog2'},1
54,GO:0009152,"{'C', 'F', 'H'}",purine ribonucleotide biosynthetic process,3,4.8948,{'supercog2'},1
55,GO:0002864,"{'W', 'T', 'V'}",regulation of acute inflammatory response to antigenic stimulus,3,13.4694,{'supercog1'},1
56,GO:0032261,"{'C', 'F', 'H'}",purine nucleotide salvage,3,8.0963,{'supercog2'},1
57,GO:0002724,"{'W', 'T', 'K'}",regulation of T cell cytokine production,3,10.9389,"{'supercog3', 'supercog1'}",2
58,GO:0002726,"{'W', 'T', 'K'}",positive regulation of T cell cytokine production,3,11.6393,"{'supercog3', 'supercog1'}",2
59,GO:0001573,"{'G', 'C', 'I'}",ganglioside metabolic process,3,12.6393,{'supercog2'},1
60,GO:0071622,"{'T', 'W', 'N'}",regulation of granulocyte chemotaxis,3,11.1368,{'supercog1'},1
61,GO:0043488,"{'A', 'T', 'K'}",regulation of mRNA stability,3,9.8492,"{'supercog3', 'supercog1'}",2
62,GO:0051279,"{'P', 'T', 'U'}",regulation of release of sequestered calcium ion into cytosol,3,10.9575,"{'supercog2', 'supercog1'}",2
63,GO:0002269,"{'W', 'T', 'V'}",leukocyte activation involved in inflammatory response,3,12.2243,{'supercog1'},1
64,GO:0045261,"{'O', 'C', 'M'}","proton-transporting ATP synthase complex, catalytic core F(1)",3,7.1854,"{'supercog2', 'supercog1'}",2
65,GO:0043601,"{'L', 'O', 'Y'}",nuclear replisome,3,11.2019,"{'supercog3', 'supercog1'}",2
66,GO:0006488,"{'G', 'O', 'I'}",dolichol-linked oligosaccharide biosynthetic process,3,13.2701,"{'supercog2', 'supercog1'}",2
67,GO:0001787,"{'D', 'W', 'T'}",natural killer cell proliferation,3,14.2243,{'supercog1'},1
68,GO:0046006,"{'D', 'W', 'T'}",regulation of activated T cell proliferation,3,10.9205,{'supercog1'},1
69,GO:0002720,"{'W', 'T', 'K'}",positive regulation of cytokine production involved in immune response,3,10.6544,"{'supercog3', 'supercog1'}",2
70,GO:0002438,"{'W', 'T', 'V'}",acute inflammatory response to antigenic stimulus,3,12.7648,{'supercog1'},1
71,GO:0005309,"{'C', 'E', 'U'}",creatine:sodium symporter activity,3,18.2243,"{'supercog2', 'supercog1'}",2
72,GO:0000730,"{'L', 'B', 'O'}",DNA recombinase assembly,3,12.6096,"{'supercog3', 'supercog1'}",2
73,GO:1902004,"{'O', 'E', 'Q'}",positive regulation of amyloid-beta formation,3,11.8844,"{'supercog2', 'supercog1'}",2
74,GO:0009226,"{'G', 'C', 'H'}",nucleotide-sugar biosynthetic process,3,7.6068,{'supercog2'},1
75,GO:0015234,"{'F', 'H', 'U'}",thiamine transmembrane transporter activity,3,13.4169,"{'supercog2', 'supercog1'}",2
76,GO:0050798,"{'D', 'W', 'T'}",activated T cell proliferation,3,10.8492,{'supercog1'},1
77,GO:0002761,"{'D', 'W', 'T'}",regulation of myeloid leukocyte differentiation,3,9.9528,{'supercog1'},1
78,GO:0043370,"{'D', 'W', 'T'}","regulation of CD4-positive, alpha-beta T cell differentiation",3,11.5518,{'supercog1'},1
79,GO:1905099,"{'C', 'F', 'T'}",positive regulation of guanyl-nucleotide exchange factor activity,3,16.2243,"{'supercog2', 'supercog1'}",2
80,GO:0071986,"{'O', 'U', 'M'}",Ragulator complex,3,13.0543,{'supercog1'},1
81,GO:0045582,"{'D', 'W', 'T'}",positive regulation of T cell differentiation,3,10.798,{'supercog1'},1
82,GO:0050672,"{'D', 'W', 'T'}",negative regulation of lymphocyte proliferation,3,10.4495,{'supercog1'},1
83,GO:0010759,"{'T', 'W', 'N'}",positive regulation of macrophage chemotaxis,3,12.5238,{'supercog1'},1
84,GO:0005753,"{'O', 'C', 'M'}",mitochondrial proton-transporting ATP synthase complex,3,10.8934,"{'supercog2', 'supercog1'}",2
85,GO:0045190,"{'L', 'W', 'T'}",isotype switching,3,11.4299,"{'supercog3', 'supercog1'}",2
86,GO:0002863,"{'W', 'T', 'V'}",positive regulation of inflammatory response to antigenic stimulus,3,13.095,{'supercog1'},1
87,GO:0002367,"{'W', 'T', 'K'}",cytokine production involved in immune response,3,9.8711,"{'supercog3', 'supercog1'}",2
88,GO:2001108,"{'C', 'F', 'T'}",positive regulation of Rho guanyl-nucleotide exchange factor activity,3,16.6393,"{'supercog2', 'supercog1'}",2
89,GO:0000070,"{'B', 'D', 'Y'}",mitotic sister chromatid segregation,3,8.7066,"{'supercog3', 'supercog1'}",2
90,GO:0030888,"{'D', 'W', 'T'}",regulation of B cell proliferation,3,10.662,{'supercog1'},1
91,GO:0005178,"{'O', 'W', 'T'}",integrin binding,3,10.0003,{'supercog1'},1
92,GO:0046641,"{'D', 'W', 'T'}",positive regulation of alpha-beta T cell proliferation,3,13.1799,{'supercog1'},1
93,GO:2000058,"{'O', 'C', 'T'}",regulation of ubiquitin-dependent protein catabolic process,3,10.1002,"{'supercog2', 'supercog1'}",2
94,GO:0008989,"{'A', 'J', 'H'}",rRNA (guanine-N1-)-methyltransferase activity,3,15.6393,"{'supercog3', 'supercog2'}",2
95,GO:0032434,"{'O', 'C', 'T'}",regulation of proteasomal ubiquitin-dependent protein catabolic process,3,10.3788,"{'supercog2', 'supercog1'}",2
96,GO:0015136,"{'G', 'C', 'U'}",sialic acid transmembrane transporter activity,3,16.2243,"{'supercog2', 'supercog1'}",2
97,GO:0090025,"{'T', 'W', 'N'}",regulation of monocyte chemotaxis,3,12.0345,{'supercog1'},1
